PACIFIC STAR EXPRESS CORPORATION,ADM GLOBAL,CONSOL ALLIANCE  AUSTRALIA PTY LTD,SYD1611131,TWKHH,AUSYD,AUSYD,"SO 2837
YEH DER
(IN DIA)
SYDNEY
PALLET NO. 111
MADE IN TAIWAN
SO 2838
K. Y. C. CASTER
SYDNEY
MADE IN TAIWAN
C/NO :1-13","STC. SO 2837 (1PLT 142.7KGS 1.15CBM)
PLASTIC PARTS
1 PLASTIC PALLETS. T.C. 11CTNS
SO 2838(13CTNS 258. 7KGS 0. 57CBM)
FURNITURE PARTS",401.4,KG,1.72,M3,TCNU6680472,YMLL445008,CFS/CFS,42G1,14,PKG,CFR,,CONSOL ALLIANCE  AUSTRALIA PTY LTD
CHARTER LINK LOGISTICS LTD,ADM GLOBAL,CONSOL ALLIANCE AUSTRALIA PTY LTD,SZSBSB611108205,HKHKG,AUBNE,AUBNE,LEDTEK,"STC. ELECTRICAL BIKE AND SCOOTER
   LED SCREEN
GASOLINE GENERATOR",905,KG,5.418,M3,CBHU9436105,3649795,CFS/CFS,42G1,7,PKG,CFR,,CONSOL ALLIANCE AUSTRALIA PTY LTD
CHARTER LINK LOGISTICS LTD,ADM GLOBAL,CONSOL ALLIANCE AUSTRALIA PTY LTD,SZSBSB611108205,HKHKG,AUBNE,AUBNE,LEDTEK,"STC. ELECTRICAL BIKE AND SCOOTER
   LED SCREEN
GASOLINE GENERATOR",905,KG,5.418,M3,FCIU9566848,36499879,CFS/CFS,42G1,7,PKG,CFR,,CONSOL ALLIANCE AUSTRALIA PTY LTD
CHARTER LINK LOGISTICS LTD,ADM GLOBAL,CONSOL ALLIANCE AUSTRALIA PTY LTD,SZSBSB611108205,HKHKG,AUBNE,AUBNE,LEDTEK,"STC. ELECTRICAL BIKE AND SCOOTER
   LED SCREEN
GASOLINE GENERATOR",905,KG,5.418,M3,TGHU6412682,3649879,CFS/CFS,42G1,7,PKG,CFR,,CONSOL ALLIANCE AUSTRALIA PTY LTD
"AMASS FREIGHT INTERNATIONAL CO.,LTD SHANGHAI",ADSHUTTERS PTY LTD,CONSOL ALLIANCE  AUSTRALIA PTY LTD,AMIGL160428440A,CNSHA,AUSYD,AUSYD,"HANGER
BRACKET
BEARING
IDLE POLE
PLASTIC PARTS
CRANK","STC. HANGER        
BRACKET
BEARING
IDLE POLE
PLASTIC PARTS
CRANK",463,KG,1.26,M3,CCLU8609192,CB260209,CFS/CFS,42G1,2,PLT,CFR,,CONSOL ALLIANCE  AUSTRALIA PTY LTD
CARGO OVERSEAS LTD,ADVANCED COSMECUETICALS,MULTI LOAD,HAE6110159,GBLHR,AUPER,AUPER,,,966,KG,12.768,M3,PMC50895SQ,5,,,8,PKG,CFR,,MULTI LOAD
CARGO OVERSEAS LTD,ADVANCED COSMECUETICALS,MULTI LOAD,HAE6110159,GBLHR,AUPER,AUPER,,,966,KG,12.768,M3,PMC56312SQ,5,,,8,PKG,CFR,,MULTI LOAD
,ADVANTAGE SALES,SALT GLOBAL LOGISTICS PTY LTD,S00241485,USLAX,AUSYD,AUSYD,,,272,KG,1.752,M3,,,,,1,PKG,CFR,KAPP TRANSPORT,SALT GLOBAL LOGISTICS PTY LTD
NAVIA LOGISTICS PTY LTD,ADVANTAGE WORLDWIDE (UK) LIMITED,PENANSHIN SHIPPING PTE LTD,NAVCAM346361,AUMEL,SGSIN,GBTIL,"
REF: W-51578","STC NATURAL SWEETENER STICKS

""ALL DESTINATION CHARGES ARE FOR THE ACCOUNT OF THE CONSIGNEE""",709,KG,4.356,M3,HLXU8096593,ML-AU0567311,CFS/CFS,45G0,3,PLT,CFR,CARGO MOVERS INTERNATIONAL,PENANSHIN SHIPPING PTE LTD
UNITRANS CONSOLIDATED INC.,ADVANTEC AUSTRALASIA PTY LTD,NAVIA LOGISTICS PTY LTD,USE16082,CAVAN,AUMEL,AUMEL,,,8169,KG,50,M3,TCLU8446790,2244304,CY/CY,45G0,6,PKG,FOB,,NAVIA LOGISTICS PTY LTD
UNITRANS CONSOLIDATED INC.,ADVANTEC AUSTRALASIA PTY LTD,NAVIA LOGISTICS PTY LTD,USE16083,CAVAN,AUMEL,AUMEL,,,6972,KG,50,M3,OOLU8799797,2244305,CY/CY,45G0,6,PKG,FOB,,NAVIA LOGISTICS PTY LTD
OCEANBRIDGE SHIPPING LTD.,AEROSOL SUPPLIES AUSTRALIA,CONSOL ALLIANCE  AUSTRALIA PTY LTD,S00581331,NZAKL,AUSYD,AUSYD,N/M,"STC. EMPTY DI METHYL ETHER CYLINDERS
CLASS 2.1/ UN 1033",1409.97,KG,5.355,M3,SUDU1317010,NZMPI00810866,CFS/CFS,22G0,6,CYL,DDP,,CONSOL ALLIANCE  AUSTRALIA PTY LTD
PACIFIC STAR EXPRESS CORPORATION,AF & LA LANE T/A AUSSIE SAPPHIRE,CONSOL ALLIANCE AUSTRALIA PTY LTD,EBRI1611530,TWKHH,AUBNE,AUBNE,"AUSS IE SAPPHIRE
( IN DIA)
C/NO
MADE IN TAIWAN","STC. 4"" PORTABLE TILE SAW                 
7' PRTABLE TILE SAW",2000.22,KG,9.58,M3,OOLU9546746,OOLEBQ1149,CFS/CFS,42G1,4,PLT,CFR,,CONSOL ALLIANCE AUSTRALIA PTY LTD
GP LOGISTICS,AFER LOGISTICS,CONSOL ALLIANCE  AUSTRALIA PTY LTD,SYDA248205,USORD,AUSYD,AUSYD,,,631,KG,121.111,CF,PMC42618QF,5,,,2,SKD,CFR,,CONSOL ALLIANCE  AUSTRALIA PTY LTD
GP LOGISTICS,AFER LOGISTICS,CONSOL ALLIANCE  AUSTRALIA PTY LTD,SYDA248205,USORD,AUSYD,AUSYD,,,631,KG,121.111,CF,PMC43401QF,5,,,2,SKD,CFR,,CONSOL ALLIANCE  AUSTRALIA PTY LTD
GP LOGISTICS,AFER LOGISTICS,CONSOL ALLIANCE  AUSTRALIA PTY LTD,SYDA248283,USATL,AUSYD,AUSYD,,,1889,KG,262.222,CF,,,,,4,SKD,CFR,,CONSOL ALLIANCE  AUSTRALIA PTY LTD
GP LOGISTICS NEW YORK,AFER LOGISTICS,CONSOL ALLIANCE  AUSTRALIA PTY LTD,SYDA248545,USJFK,AUSYD,AUSYD,,,184,KG,15.13,CF,PMC43396QF,5,,,19,CTN,CFR,,CONSOL ALLIANCE  AUSTRALIA PTY LTD
GP LOGISTICS,AFER LOGISTICS,CONSOL ALLIANCE  AUSTRALIA PTY LTD,SYDA248716,USORD,AUSYD,AUSYD,,,1050,KG,135.556,CF,PMC40403QF,5,,,2,SKD,FOB,,CONSOL ALLIANCE  AUSTRALIA PTY LTD
LAUNCH CARGO & LOGISTICS PTY LTD,AFFORDABLE POLYMERS,,,AUBNE,USBOS,USBOS,,,350,KG,0,M3,,,,,1,PKG,CFR,,
"AMASS FREIGHT INTERNATIONAL CO.,LTD SHANGHAI",AFI LOGISTICS,CONSOL ALLIANCE AUSTRALIA PTY LTD,AMIGL160428302A,CNNGB,AUMEL,AUMEL,DECROLUX,,703,KG,4.33,M3,TCLU9685790,MOL957743K,CFS/CFS,45G0,190,CTN,CFR,,CONSOL ALLIANCE AUSTRALIA PTY LTD
"AMASS FREIGHT INTERNATIONAL CO.,LTD SHANGHAI",AFI LOGISTICS,CONSOL ALLIANCE AUSTRALIA PTY LTD,AMIGL160431617A,CNNGB,AUMEL,AUMEL,CFS-CFS,"STC. AK-15 CLIPS             
AK 15 SEMI-AUTOMATIC MACHINE",2050,KG,4.8,M3,TCLU9685790,MOL957743K,CFS/CFS,45G0,2,PKG,CFR,,CONSOL ALLIANCE AUSTRALIA PTY LTD
PACIFIC CONCORD INTERNATIONAL LTD,AFI LOGISTICS,CONSOL ALLIANCE AUSTRALIA PTY LTD,EMEL1611284,TWKHH,AUMEL,AUMEL,"BUI MELBOURNE
NO. 1-3 MADE IN TAIWAN
ROC","STC. SILICONE RUBBER       
3 PLTS STC. 75 DRUM + 10 CTNS",1757,KG,3.63,M3,TEMU0227324,YMLL445112,CFS/CFS,22G0,3,PLT,CFR,,CONSOL ALLIANCE AUSTRALIA PTY LTD
"AMASS FREIGHT INTERNATIONAL CO.,LTD SHANGHAI",AFL GLOBAL,CONSOL ALLIANCE AUSTRALIA PTY LTD,AMIGL160423432A,CNSHA,AUMEL,AUMEL,AFL,,520,KG,2.3,M3,YMMU1079922,YMLM703594,CFS/CFS,22G0,1,PKG,CFR,,CONSOL ALLIANCE AUSTRALIA PTY LTD
"AMASS FREIGHT INTERNATIONAL CO.,LTD SHANGHAI",AFL GLOBAL,CONSOL ALLIANCE AUSTRALIA PTY LTD,AMIGL160423432A,CNSHA,AUMEL,AUMEL,AFL,,520,KG,2.3,M3,SEGU5300170,YMLM703592,CFS/CFS,42G1,1,PKG,CFR,,CONSOL ALLIANCE AUSTRALIA PTY LTD
OCEANBRIDGE SHIPPING LTD.,AFLO EQUIPMENT,NAVIA LOGISTICS PTY LTD,S00578779,NZTRG,AUMEL,AUMEL,,,29697,KG,50,M3,DRYU2822410,SAL637009,CY/CY,22G0,40,PLT,CFR,,NAVIA LOGISTICS PTY LTD
OCEANBRIDGE SHIPPING LTD.,AFLO EQUIPMENT,NAVIA LOGISTICS PTY LTD,S00578779,NZTRG,AUMEL,AUMEL,,,29697,KG,50,M3,SEGU2280682,SAL637007,CY/CY,22G0,40,PLT,CFR,,NAVIA LOGISTICS PTY LTD
,AGA LABRATORY,COMMERCIAL FREIGHT & LOGISTICS PTY LTD,S00074574,NZAKL,AUMEL,AUMEL,,,97,KG,0.756,M3,,,,,1,PKG,CFR,FRF COURIERS,COMMERCIAL FREIGHT & LOGISTICS PTY LTD
"AMASS FREIGHT INTERNATIONAL CO.,LTD SHANGHAI",AGCO AUSTRALIA LIMITED,CONSOL ALLIANCE AUSTRALIA PTY LTD,HNSE16120029,CNNGB,AUMEL,AUMEL,ALO,,141,KG,0.53,M3,TCLU9685790,MOL957743K,CFS/CFS,45G0,1,PKG,CFR,,CONSOL ALLIANCE AUSTRALIA PTY LTD
"AMASS FREIGHT INTERNATIONAL CO.,LTD SHANGHAI",AGED CARE FACILITY SUPPLIERS,CONSOL ALLIANCE  AUSTRALIA PTY LTD,AMIGL160404055A,CNSHA,AUSYD,AUSYD,"A.C.F.S.
SYDNEY
C/NO:
MADE IN CHINA","STC. LAUNDRY BAG              
BED PAD
CHAIR PAD
ADULT BIBS",3310,KG,13.61,M3,DFOU6156514,CB173701,CFS/CFS,42G1,291,CTN,CFR,,CONSOL ALLIANCE  AUSTRALIA PTY LTD
"AMASS FREIGHT INTERNATIONAL CO.,LTD SHANGHAI",AGED CARE FACILITY SUPPLIERS,CONSOL ALLIANCE  AUSTRALIA PTY LTD,AMIGL160404055A,CNSHA,AUSYD,AUSYD,"A.C.F.S.
SYDNEY
C/NO:
MADE IN CHINA","STC. LAUNDRY BAG              
BED PAD
CHAIR PAD
ADULT BIBS",3310,KG,13.61,M3,TEMU9297488,CB173659,CFS/CFS,42G1,291,CTN,CFR,,CONSOL ALLIANCE  AUSTRALIA PTY LTD
,AGFA-GEVAERT LTD,NNR GLOBAL LOGISTICS AUSTRALIA PTY LTD,NNRSHA515074,CNPVG,AUMEL,AUMEL,,,67,KG,0.93,M3,,,,,1,PKG,FOB,EXPEDITORS INTERNATIONAL PTY LTD,NNR GLOBAL LOGISTICS AUSTRALIA PTY LTD
PENANSHIN SHIPPING PTE LTD,AGILITY FAIRS & EVENTS,CONSOL ALLIANCE  AUSTRALIA PTY LTD,JKSYD0024008,SGSIN,AUSYD,AUSYD,"MARKINGS:
MACKIES ASIA PACIFIC
HS CODE : 7323.91.90.00","STC. RETURN EXHIBITION GOODS EX. GULFOOD
MANUFACTURING 2016 MACKIES
1 PICE ( 740KGS & 3.06 CB. )

RED STAND/ONTENT LIST
STOCK BREAD PAN LIDS
SPECIALITY PANS/TRAYS/TILES
TOOL BOX FOR RED STAND
STOCK BAKE MATS",120,KG,2.847,M3,TCNU7577242,YMLL817242,CFS/CFS,45G0,1,PKG,CFR,,CONSOL ALLIANCE  AUSTRALIA PTY LTD
PENANSHIN SHIPPING PTE LTD,AGILITY FAIRS & EVENTS,CONSOL ALLIANCE  AUSTRALIA PTY LTD,JKSYD0024008,SGSIN,AUSYD,AUSYD,"MARKINGS:
MACKIES ASIA PACIFIC
HS CODE : 7323.91.90.00","STC. RETURN EXHIBITION GOODS EX. GULFOOD
MANUFACTURING 2016 MACKIES
1 PICE ( 740KGS & 3.06 CB. )

RED STAND/ONTENT LIST
STOCK BREAD PAN LIDS
SPECIALITY PANS/TRAYS/TILES
TOOL BOX FOR RED STAND
STOCK BAKE MATS",120,KG,2.847,M3,TEMU8941106,YMLL817235,CFS/CFS,45G0,1,PKG,CFR,,CONSOL ALLIANCE  AUSTRALIA PTY LTD
,AGNOVA TECHNOLOGIES PTY LTD,NNR GLOBAL LOGISTICS AUSTRALIA PTY LTD,NNR41447109,JPKIX,AUMEL,AUMEL,,,4712,KG,0,M3,,,,,13,PKG,CFR,EB TRANSPORT,NNR GLOBAL LOGISTICS AUSTRALIA PTY LTD
NAVIA LOGISTICS PTY LTD,AGRO TECHNICA LIMITED,PENANSHIN SHIPPING PTE LTD,NAVMEL347902,AUMEL,SGSIN,LKCMB,"AGRO TECHNICA LIMITED
IMPORT LICENCE NO.: IM-3-520-2016-002772
NANDO FLUAZINAM
FORMULATION DATE: NOV 2016
BATCH NO: 235547
NET WEIGHT:
GROSS WEIGHT:
CONTAINER IDENTIF NO,: 1-UP
MANUFACTURER: NUFARM AUSTRALIA LIMITED

REF: W-51765","PACKAGES UN3082, ENVIRONMENTALLY
HAZARDOUS SUBSTANCE, LIQUID, N.O.S.
(CONTAINS FLUZINAM), CLASS 9, PG III,
EMS: F-A,S-F, MARINE POLLUTANT
NANDO FLAUZINAM
(5 X 200 LTR ) IMPORT LICENCE NO:
IM-3-520-2016-002772

PALLETS & DUNNAGE - 20 PALLETS - 600KG 3.8CBM 

NUFARM AUSTRALIA LTD 24 HOUR EMERGENCY NUMBER
1800 033 498:6139282 1331 CONTACT SHIFT
SUPERVISOR

""ALL DESTINATION CHARGES ARE FOR THE ACCOUNT OF THE CONSIGNEE""",1370,KG,2.93,M3,CAXU6570004,ML-AU0567269,CFS/CFS,22G0,2,PLT,CFR,WORLDWIDE LOGISTICS LANKA (PVT) LTD.,PENANSHIN SHIPPING PTE LTD
NAVIA LOGISTICS PTY LTD,AGRO TECHNICA LIMITED,PENANSHIN SHIPPING PTE LTD,NAVMEL347902,AUMEL,SGSIN,LKCMB,"AGRO TECHNICA LIMITED
IMPORT LICENCE NO.: IM-3-520-2016-002772
NANDO FLUAZINAM
FORMULATION DATE: NOV 2016
BATCH NO: 235547
NET WEIGHT:
GROSS WEIGHT:
CONTAINER IDENTIF NO,: 1-UP
MANUFACTURER: NUFARM AUSTRALIA LIMITED

REF: W-51765","PACKAGES UN3082, ENVIRONMENTALLY
HAZARDOUS SUBSTANCE, LIQUID, N.O.S.
(CONTAINS FLUZINAM), CLASS 9, PG III,
EMS: F-A,S-F, MARINE POLLUTANT
NANDO FLAUZINAM
(5 X 200 LTR ) IMPORT LICENCE NO:
IM-3-520-2016-002772

PALLETS & DUNNAGE - 20 PALLETS - 600KG 3.8CBM 

NUFARM AUSTRALIA LTD 24 HOUR EMERGENCY NUMBER
1800 033 498:6139282 1331 CONTACT SHIFT
SUPERVISOR

""ALL DESTINATION CHARGES ARE FOR THE ACCOUNT OF THE CONSIGNEE""",1370,KG,2.93,M3,FCIU9071690,ML-AU0567255,CFS/CFS,45G0,2,PLT,CFR,WORLDWIDE LOGISTICS LANKA (PVT) LTD.,PENANSHIN SHIPPING PTE LTD
"AMASS FREIGHT INTERNATIONAL CO.,LTD SHANGHAI",AGS WORLD TRANSPORT,CONSOL ALLIANCE  AUSTRALIA PTY LTD,AMIGL160371023A,CNWUC,AUSYD,AUSYD,PAN,,500,KG,1.145,M3,CBHU9116098,CB027725,CFS/CFS,42G1,20,CTN,CFR,,CONSOL ALLIANCE  AUSTRALIA PTY LTD
"AMASS FREIGHT INTERNATIONAL CO.,LTD SHANGHAI",AGS WORLD TRANSPORT,CONSOL ALLIANCE  AUSTRALIA PTY LTD,AMIGL160372688A,CNWUC,AUSYD,AUSYD,"POSTAGE BAG
MADE IN CHINA",,1813,KG,2.99,M3,CBHU9116098,CB027725,CFS/CFS,42G1,105,CTN,CFR,,CONSOL ALLIANCE  AUSTRALIA PTY LTD
"AMASS FREIGHT INTERNATIONAL CO.,LTD SHANGHAI",AGS WORLD TRANSPORT,CONSOL ALLIANCE AUSTRALIA PTY LTD,AMIGL160419197A,CNNGB,AUBNE,AUBNE,N/M,,870,KG,6,M3,TCNU5998448,MOL946353K,CFS/CFS,45G0,3,PLT,CFR,,CONSOL ALLIANCE AUSTRALIA PTY LTD
PACIFIC STAR EXPRESS CORPORATION,AGS WORLD TRANSPORT,CONSOL ALLIANCE FREMANTLE,FML1611232,TWKHH,AUFRE,AUFRE,"SO K672
STATEWIDE AUSTRALIA
NO.: 1& L1-L2
MADE IN TAIWAN
SO K680
CO-LOADER MBL
BGL
***
DEST-P
ORDER NO-253149-1
ITEM-5810665
DEPT-HAND TOOLS
CARTON QTY-288PCS
GW-11.38KGS
C/NO.1-7
MADE IN TAIWAN","STC. SO K672    
(3 WDCS/ 675.4 KGS/ 3.26 CBM)RAIL & BLOCK & BALL SCREW
SO K680
(7 CTNS/ 79.66 KGS/ 0.69 CBM)
PROTECTIVE EYEWEAR",738.66,KG,2.49,M3,KKTU7487613,CBS34801,CFS/CFS,22G0,10,PKG,CFR,,CONSOL ALLIANCE FREMANTLE
PENANSHIN SHIPPING PTE LTD,AGUSTA WESTLAND AUSTRALIA,CONSOL ALLIANCE AUSTRALIA PTY LTD,PSINMELSE4156003,SGSIN,AUMEL,AUMEL,R.2347,"STC. MAIN ROTOR BLADE      
P/ 709-0104-01-111",180,KG,0.985,M3,MOAU6797498,BR06581,CFS/CFS,22G0,1,CRT,FOB,,CONSOL ALLIANCE AUSTRALIA PTY LTD
PENANSHIN SHIPPING PTE LTD,AGUSTA WESTLAND AUSTRALIA,CONSOL ALLIANCE AUSTRALIA PTY LTD,PSINMELSE4156003,SGSIN,AUMEL,AUMEL,R.2347,"STC. MAIN ROTOR BLADE      
P/ 709-0104-01-111",180,KG,0.985,M3,CAIU9192354,BR06585,CFS/CFS,45G0,1,CRT,FOB,,CONSOL ALLIANCE AUSTRALIA PTY LTD
PENANSHIN SHIPPING PTE LTD,AGUSTA WESTLAND AUSTRALIA,CONSOL ALLIANCE AUSTRALIA PTY LTD,PSINMELSE4156003,SGSIN,AUMEL,AUMEL,R.2347,"STC. MAIN ROTOR BLADE      
P/ 709-0104-01-111",180,KG,0.985,M3,MOTU0611956,BR06582,CFS/CFS,45G0,1,CRT,FOB,,CONSOL ALLIANCE AUSTRALIA PTY LTD
,AHC SOLUTIONS PTY LTD,COMMERCIAL FREIGHT AND LOGISTICS PTY LTD,LAE603110,GBLHR,AUSYD,AUSYD,,"MEDICAL EQUIPMENT                           
LITHIUM ION BATTERIES IN COMPLIANCE WITH SECTION II OF PI967",116,KG,1.02,M3,,,,,2,PKG,CFR,DIRECT COURIERS / AFFT SYDNEY,COMMERCIAL FREIGHT AND LOGISTICS PTY LTD
,"AHERN AUSTRALIA PTY., LTD.",FELTON GLOBAL LOGISTICS,1612A805,NZWLG,AUSYD,AUSYD,,SPARE PARTS FOR ELEVATING WORK PLATFORMS,75,KG,0,M3,,,,,1,PKG,CFR,DIRECT COURIERS / AFFT SYDNEY,FELTON GLOBAL LOGISTICS
CHARTER LINK LOGISTICS LTD,AHW STUDIO PTY LTD,CONSOL ALLIANCE  AUSTRALIA PTY LTD,GSYD1612003903,HKHKG,AUSYD,AUSYD,AWH STUDIO PTY LTD,,116,KG,1.185,M3,BMOU4083469,T0990887,CFS/CFS,45G0,17,CAS,CFR,,CONSOL ALLIANCE  AUSTRALIA PTY LTD
CHARTER LINK LOGISTICS LTD,AHW STUDIO PTY LTD,CONSOL ALLIANCE  AUSTRALIA PTY LTD,GSYD1612003903,HKHKG,AUSYD,AUSYD,AWH STUDIO PTY LTD,,116,KG,1.185,M3,CAIU8589882,T0990886,CFS/CFS,45G0,17,CAS,CFR,,CONSOL ALLIANCE  AUSTRALIA PTY LTD
CHARTER LINK LOGISTICS LTD,AIM HIRE PTY LTD,CONSOL ALLIANCE AUSTRALIA PTY LTD,KCCFS161111006,HKHKG,AUMEL,AUMEL,N/M,,327.7,KG,4.752,M3,PCIU6003820,T0989334,CFS/CFS,45R1,21,CTN,CFR,,CONSOL ALLIANCE AUSTRALIA PTY LTD
CHARTER LINK LOGISTICS LTD,AIM HIRE PTY LTD,CONSOL ALLIANCE AUSTRALIA PTY LTD,KCCFS161111006,HKHKG,AUMEL,AUMEL,N/M,,327.7,KG,4.752,M3,TTNU8202855,T0989337,CFS/CFS,45R1,21,CTN,CFR,,CONSOL ALLIANCE AUSTRALIA PTY LTD
,AINSWORTH GAME TECHNOLOGY,COMMERCIAL FREIGHT AND LOGISTICS PTY LTD,ETI1671659,TWTPE,AUSYD,AUSYD,,,753,KG,4.992,M3,,,,,3,PKG,FOB,BRADCO TRADING P/L,COMMERCIAL FREIGHT AND LOGISTICS PTY LTD
,AINSWORTH GAME TECHNOLOGY,COMMERCIAL FREIGHT AND LOGISTICS PTY LTD,ETI1671769,TWTPE,AUSYD,AUSYD,,,368,KG,2.562,M3,,,,,2,PLT,FOB,,COMMERCIAL FREIGHT AND LOGISTICS PTY LTD
,AIR BORDER LIMITED,,NAVMEL341862,AUSYD,CNXGA,CNTNG,,,16748,KG,30.4,M3,CBHU5603950,FEJ7796931,CY/CY,22G0,20,PLT,CFR,,
PACIFIC STAR EXPRESS CORPORATION,AIR BRAKE CORPORATION OF AUSTRALIA,CONSOL ALLIANCE  AUSTRALIA PTY LTD,TSYD1611532,TWKHH,AUSYD,AUSYD,SMIC (IN DIA.),,6176.35,KG,16.74,M3,BMOU5686533,YMLL445114,CFS/CFS,42G1,400,CTN,CFR,,CONSOL ALLIANCE  AUSTRALIA PTY LTD
"AMASS FREIGHT INTERNATIONAL CO.,LTD SHANGHAI",AIR COMPRESSOR PRODUCTS AND SERVICES PTY LTD,CONSOL ALLIANCE  AUSTRALIA PTY LTD,AMIGL160424271A,CNSHA,AUSYD,AUSYD,"SHANGHAI
ROTORCOMP","STC. COMPRESSOR AIR END              
AFTER COOLER
FAN ASSEMBLY",150,KG,1.2,M3,EISU9427987,5000961,CFS/CFS,45G0,1,PKG,CFR,,CONSOL ALLIANCE  AUSTRALIA PTY LTD
OCEANBRIDGE SHIPPING LTD.,AIR MENZIES INTERNATIONAL (AUST) PTY LTD,NAVIA LOGISTICS PTY LTD,S00580104,NZAKL,AUMEL,AUMEL,"MEDALLIEN ELECTRICAL SERVICES
RINGWOOD VIC",STC. TOOLS,390,KG,1.432,M3,SUDU6838371,NZ00098440,CFS/CFS,45G0,1,PLT,CFR,,NAVIA LOGISTICS PTY LTD
NAVIA LOGISTICS PTY LTD,AIR RAROTONGA LTD,OCEANBRIDGE SHIPPING LTD.,NAVBNE343986,AUSYD,NZAKL,NZAKL,"
REF: TIE16111070","STC AIRCRAFT TYRES

�ALL CHARGES ARE FOR THE ACCOUNT OF THE CONSIGNEE�",460,KG,3.289,M3,GESU3555389,AHL3822786,CFS/CFS,22G0,2,PLT,EXW,ATLAS INTERNATIONAL FREIGHT LTD,OCEANBRIDGE SHIPPING LTD.
NAVIA LOGISTICS PTY LTD,AIR RAROTONGA LTD,OCEANBRIDGE SHIPPING LTD.,NAVBNE343986,AUSYD,NZAKL,NZAKL,"
REF: TIE16111070","STC AIRCRAFT TYRES

�ALL CHARGES ARE FOR THE ACCOUNT OF THE CONSIGNEE�",460,KG,3.289,M3,BSIU9081361,AHL3822804,CFS/CFS,45G0,2,PLT,EXW,ATLAS INTERNATIONAL FREIGHT LTD,OCEANBRIDGE SHIPPING LTD.
NAVIA LOGISTICS PTY LTD,AIR RAROTONGA LTD,OCEANBRIDGE SHIPPING LTD.,NAVBNE343986,AUSYD,NZAKL,NZAKL,"
REF: TIE16111070","STC AIRCRAFT TYRES

�ALL CHARGES ARE FOR THE ACCOUNT OF THE CONSIGNEE�",460,KG,3.289,M3,INKU6393062,AHL3822805,CFS/CFS,45G0,2,PLT,EXW,ATLAS INTERNATIONAL FREIGHT LTD,OCEANBRIDGE SHIPPING LTD.
NAVIA LOGISTICS PTY LTD,AIR RAROTONGA LTD,OCEANBRIDGE SHIPPING LTD.,NAVBNE349300,AUBNE,NZAKL,CKRAR,"
REF: H26642","STC 2 X 5 LITRE TINS OF PAINT RELATED MATERIAL

HAZ
UN 1263/ CLASS 3/ PG II, III

�ALL CHARGES ARE FOR THE ACCOUNT OF THE CONSIGNEE�",25,KG,0.07,M3,PCIU2758788,W0209684,CFS/CFS,22G0,1,CTN,EXW,ATLAS INTERNATIONAL FREIGHT LTD,OCEANBRIDGE SHIPPING LTD.
,AIRA PTY LTD,COMMERCIAL FREIGHT & LOGISTICS PTY LTD,S00074415,NZAKL,AUMEL,AUMEL,,,7,KG,0,M3,,,,,2,PKG,FOB,ECLIPSE COURIERS,COMMERCIAL FREIGHT & LOGISTICS PTY LTD
"AMASS FREIGHT INTERNATIONAL CO.,LTD SHANGHAI",AIRBAG MAN,CONSOL ALLIANCE AUSTRALIA PTY LTD,AMIGL160429286A,CNSHA,AUBNE,AUBNE,"DECS
ITEM NO
CARTON OF
MADE IN CHINA","STC. BRACKET        
TUBE CUTTER
FITRTING
HOSE CLAMP
PROTECTIVE HOSE",1579,KG,4.81,M3,YMLU3192575,DWY1927,CFS/CFS,22G0,4,PLT,CFR,,CONSOL ALLIANCE AUSTRALIA PTY LTD
,AIRBAG MAN,NNR GLOBAL LOGISTICS AUSTRALIA PTY LTD,UK11289398,GBLHR,AUBNE,AUBNE,,,175,KG,0.94,M3,,,,,1,PKG,CFR,,NNR GLOBAL LOGISTICS AUSTRALIA PTY LTD
CDC MILANO SPA,AIRBORNE WINDSPORTS,NAVIA LOGISTICS PTY LTD,MI1160852100,ITGOA,AUFRE,AUFRE,PO: INV 261,,657,KG,0,M3,HLBU1118688,HLD1722791,CY/CY,22G0,7,PKG,EXW,,NAVIA LOGISTICS PTY LTD
CHARTER LINK LOGISTICS LTD,AIRMARK OCEAN PTY LTD,CONSOL ALLIANCE AUSTRALIA PTY LTD,ADL612040501,HKHKG,AUADL,AUADL,"PUBLISHER ASSOULINE
T ITLE: BIRD IN HAND
AUTHOR: ADELAIDE
H ILLS
I SBN: 9781614285410
P RINT# 001
COUNTRY OF ORIGIN:
C HINA
Q UANTITY: 5
WEIGHT: 10.2 KGS","STC. PRINTED BOOKS        
TITLE: BIRD IN HAND",2879,KG,7.28,M3,OOLU8860789,OOLDCY0687,CFS/CFS,42G1,5,PLT,CFR,,CONSOL ALLIANCE AUSTRALIA PTY LTD
,AIRPORT EQUIPMENT AUSTRALIA PTY LTD,BLUE WATER TRANSPORT PTY LTD,ODE30085,DKBLL,AUSYD,AUSYD,,,100,KG,0,M3,,,,,1,PKG,CFR,DIRECT COURIERS / AFFT SYDNEY,BLUE WATER TRANSPORT PTY LTD
"AMASS FREIGHT INTERNATIONAL CO.,LTD SHANGHAI",AIRSEA GLOBAL LOGISTICS,CONSOL ALLIANCE AUSTRALIA PTY LTD,AMIGL160391929A,CNSHK,AUMEL,AUMEL,"D�COR ENGINEERING
(AUST) PTY LTD
TM-1100UVF-6
MADE IN CHINA",,1466,KG,10.713,M3,CBHU5574786,CA463485,CFS/CFS,22G0,1,PKG,CFR,,CONSOL ALLIANCE AUSTRALIA PTY LTD
